id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt0120787,A Perfect Murder,(1998),6.6,R,107 min,"Crime, Drama, Thriller",85099,"67,638,368",nm0001112,Andrew Davis,"nm0000140,nm0000569,nm0001557,nm0837064","Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,David Suchet","A wealthy Wall Street speculator discovers that his wife has a lover. He investigates him and uses the carrot and stick to make him murder his wife. Planned to detail, it seems like a perfect murder."
tt0083470,Remington Steele,(1982–1987),7.2,TV-PG,60 min,"Action, Adventure, Comedy","8,633","67,638,368",Anonymous,nm0000000,"nm0000258,nm0000112,nm0005368,nm0416856","Stephanie Zimbalist,Pierce Brosnan,Doris Roberts,James Read",The cases of a female private detective partnered with a former thief who assumes the role of a fictitious detective in the business.
tt14167390,House of Secrets: The Burari Deaths,(2021),7.4,TV-MA,135 min,"Documentary, Crime, History","9,859","67,638,368",Anonymous,nm0000000,"nm13040191,nm13040193,nm11758000,nm13040194","Manoj Kumar,Naresh Bhatia,Vishal Anand,Mukesh Sengar","Suicide, murder or something else? This docuseries examines chilling truths and theories around the deaths of 11 members of a Delhi family."
tt0275491,Bad Education,(2004),7.4,NC-17,106 min,"Crime, Drama",59689,"5,211,842",nm0000264,Pedro Almodóvar,"nm0305558,nm0555093,nm0194572,nm0319843","Gael García Bernal,Fele Martínez,Javier Cámara,Daniel Giménez Cacho",An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.
tt0053472,Breathless,(1960),7.7,Not Rated,90 min,"Crime, Drama",80234,"336,705",nm0000419,Jean-Luc Godard,"nm0000901,nm0781029,nm0099429,nm0400142","Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
tt9731242,The Mess You Leave Behind,(2020),6.7,TV-MA,56 min,"Crime, Drama, Mystery","8,975","336,705",Anonymous,nm0000000,"nm2285844,nm1036659,nm0636991,nm1422693","Inma Cuesta,Bárbara Lennie,Tamar Novas,Arón Piper","Based on the novel of the same name winner of the Primavera award 2016. Raquel, a young literature teacher, gives her marriage a second chance and moves to her husband's birth town, which hides a dark secret she will try to unravel."
tt1255919,Holmes & Watson,(2018),3.9,PG-13,90 min,"Comedy, Crime, Mystery",36251,"30,573,626",nm1000113,Etan Cohen,"nm0002071,nm0000604,nm0000146,nm0356017","Will Ferrell,John C. Reilly,Ralph Fiennes,Rebecca Hall",A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.
tt0141369,Inspector Gadget,(1999),4.1,PG,78 min,"Action, Adventure, Comedy",48182,"97,403,112",nm0446109,David Kellogg,"nm0000111,nm0000391,nm0004921,nm0005502","Matthew Broderick,Rupert Everett,Joely Fisher,Michelle Trachtenberg",A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.
tt1190539,The Chaser,(2008),7.8,Not Rated,125 min,"Action, Crime, Drama","65,380","97,403,112",nm2947553,Na Hong-jin,"nm2412823,nm1978402,nm1320089,nm2498552","Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Kim Yoo-jeong",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
tt0065317,McCloud,(1970–1977),6.9,TV-PG,120 min,"Action, Crime, Drama","3,326","97,403,112",Anonymous,nm0000000,"nm0915840,nm0134201,nm0141956,nm0528373","Dennis Weaver,J.D. Cannon,Terry Carter,Ken Lynch",A New Mexico deputy marshal gets assigned to Manhattan's 27th Precinct.
